island_name,food_bank_name,sub_area,service_type,operation_duration,instructions,location_text,contact,days,TEFAP,TANF,location_geopoint,description,active,marker_legend
Kauai,Līhuʻe Salvation Army,Līhuʻe,Food Pantry,"Tuesday to Saturay 11 a.m. - Noon
Sunday 10:30-11 a.m.",,"4182 Hardy St., Līhuʻe, HI 96766",808-245-2571,"tuesday,wedneday,thursday,friday,saturday,sunday",unknown,unknown,"21.97299574300772,-159.36304417995302",,yes,pantry
Kauai,Kauai Economic Opportunity,Līhuʻe,Food Pantry,Monday - Friday 10:00 a.m. - 4:00 p.m.,,2804 Wehe Rd. Līhuʻe HI 96766,808-245-4077,"monday,tuesday,wednesday,thursday,friday",unknown,unknown,"21.97141438425365,-159.37459036096556",,yes,pantry
Kauai,Kauaʻi Bible Church,ʻŌmaʻo,Food Pantry,Every Sunday 11:30 a.m. - Noon,,"2-4131 Kauamualiʻi Rd., Koloa, HI 96756",808-742-7514,sunday,unknown,unknown,"21.92744974676078,-159.49030141920102",,yes,pantry
Kauai,Church of the Pacific,Princeville,Food Pantry,Wednesday 1-2:30 p.m.,,"4520 Kapaka Rd., Princeville, HI 96722",,wednesday,unknown,unknown,"22.208995947792882,-159.4643821054474",,yes,pantry
Kauai,Nana's House (Child & Family Service),Waimea,Food Pantry,"Monday 2-4 p.m.
Wednesday 9-11 a.m. and 1-4 p.m.
Thursday 1-4 p.m.",,"9875 Waimea Rd., Waimea, HI 96796",808-338-0252,"monday,wednesday,thursday",unknown,unknown,"21.95516128276169,-159.66724056064675",,yes,pantry
Kauai,Hanapēpē Salvation Army,Hanapēpē,Prepared Meals,"Monday 5-6 p.m. 
Wednesday 11 a.m. - Noon 
Friday 11 a.m. - Noon",(Call for emergency food),"4465 Puolo Rd., Hanapēpē, HI 96716",808-335-5441,"monday,wednesday,friday",unknown,unknown,"21.9072341,-159.5930119",,yes,meals
Kauai,Kapaʻa Missionary Church,Kapaʻa,Prepared Meals,Second and Fourth Saturday 4:30-5 p.m,,"4-758 Kuhio Hwy, Kapaʻa, HI 96746",808-822-5594,saturday,unknown,unknown,"22.0601253,-159.3218962",,yes,meals
Kauai,Kapaʻa United Church of Christ,Kapaʻa,Prepared Meals,"Sunday 1-4 p.m.
",,"1315 Ulu Street, Kapaʻa, HI 96746",808-822-9241,sunday,unknown,unknown,"22.074780035987363,-159.31971120531966",,yes,meals
Kauai,Līhuʻe Salvation Army,Līhuʻe,Prepared Meals,"Tuesday and Thursday 11 a.m. - Noon
",,"4182 Hardy St, Līhuʻe, HI 96766",808-245-2571,"tuesday,thursday",unknown,unknown,"21.972952983508918,-159.36300318211593",,yes,meals
Island of Hawaii,"Salvation Army Lanai
",Hilo,Soup Kitchen,"12:00-1:00 PM Every Monday (Lunch)
7:30 AM (Breakfast) Tuesday[last 3 weeks of every month]
7:30 AM (Breakfast) Wednesday [Last 3 weeks of every month]","(except holidays)
Tuesday and Wednesday only last 3 weeks of every month","219 Ponahawai St (Downtown Hilo)
",935-1277,"monday,tuesday,wednesday",unknown,unknown,"20.8165975,-156.9273193",,yes,meals
Island of Hawaii,Hilo United Methodist Church,Hilo,Soup Kitchen,"Every Tuesday 5:00 PM Dinner (To Go)
Every Thursday 5:00 PM
Dinner (To Go)",,Hilo United Methodist Church) 374 Waianuenue Ave (Downtown Hilo),935-2144,"tuesday,thursday",unknown,unknown,"19.7240041,-155.0914565",,yes,meals
Island of Hawaii,Honokaa Hongwanji,Hamakua,Soup Kitchen,"Every Friday 4:00-5:30 PM Dinner
(except holidays)
",Every Friday,"Honokaa Hongwanji
45-516 Lehua St
Every Friday",775-7232,friday,unknown,unknown,"20.0786721,-155.4700087",,yes,meals
Island of Hawaii,Annunciation Catholic Church,Kohala,Food Pantry,8:30-10:00 AM(except holidays),2nd & 4th Tuesday of the month,65-1235 Kawaihae Rd - Waimea,887-1220,tuesday,unknown,unknown,"20.02151956724907,-155.67057402087084",,yes,pantry
Island of Hawaii,Kokua Christian Ministries,Kohala,Food Pantry,9:30 AM-12:30 PM(except holidays),,"65-1078 Mamalahoa Hwy
New Hope Church",895-3056,wednesday,unknown,unknown,"20.024707353273914,-155.6621735309688",,yes,pantry
Island of Hawaii,Sacred Hearts - Hawi,Kohala,Food Pantry,9:00-10:00 AM(except holidays),3rd Thursday of the month,55-3374 Akoni Pule Hwy Hawi,"899-5115
Or
640-2188",thursday,unknown,unknown,"20.237973941735145,-155.83422780973262",,yes,pantry
Island of Hawaii,Kurtistown Assembly of God,Puna,Soup Kitchen,Last two Saturdays of the month 9:00 AM Brunch (except holidays) ,Last two Saturdays of the month,"Kurtistown Assembly of God
17-550 Volcano Rd
",960-8721,saturday,unknown,unknown,"19.5817619,-155.0627679",,yes,meals
Island of Hawaii,Ola`a First Hawaiian Community Church,Puna,Soup Kitchen,4th Saturday of the month 11:00-12:30 PM (Lunch),"Served at Kurtistown Park
4th Saturday of the month","Ola`a First Hawaiian Community Church(Served at Kurtistown Park
)",345-1670,saturday,unknown,unknown,"19.591670826538675,-155.05999645037573",,yes,meals
Island of Hawaii,Hale Pule Ke`ola Hou,Hilo,Soup Kitchen,4th Saturday of the month 11:00 AM-1:00 PM,4th Saturday of the month,"Hale Pule Ke`ola Hou
219 Ponahawai St (Keaukaha)
4th Saturday of the month",933-4463,saturday,unknown,unknown,"19.7354336,-155.0423547",,yes,meals
Island of Hawaii,Salvation Army Lanai,Hilo,Soup Kitchen,"Call first
vegan meal","4th Saturday of the month (Call first
vegan meal)","Salvation Army Lanai
219 Ponahawai St (Downtown Hilo)
*4th Saturday of the month",935-1277,sunday,unknown,unknown,"20.8165975,-156.9273193",,yes,meals
Island of Hawaii,Salvation Army – Honokaa,Hamakua,Food Pantry,Every Wednesday 9:00 AM-12:00 PM,,"Salvation Army – Honokaa
45-511 Rickard Pl Honokaa",775-7346,wednesday,unknown,unknown,"20.0773476,-155.4648503",,yes,pantry
Island of Hawaii,Immaculate Heart of Mary,Hamakua,Food Pantry,3rd Thursday of the month 9:30-10:30 AM (except holidays),3rd Thursday of the month (except holidays),"Immaculate Heart of Mary
27-186 Kaapoko Homestead Rd Papaikou
",964-1240,thursday,unknown,unknown,"19.790594765028636,-155.09522918566287",,yes,pantry
Island of Hawaii,Honokaa Hongwanji,Hamakua,Food Pantry,Every Friday 4:00-5:30 PM (except holidays),,"Honokaa Hongwanji
45-516 Lehua Honokaa
",775-7232,friday,unknown,unknown,"20.0786721,-155.4700087",,yes,pantry
Island of Hawaii,First Assembly of God,Hamakua,Food Pantry,3rd Saturday 10:00 AM-12:00 PM (except holidays),3rd Saturday (except holidays),"First Assembly of God
28-1104 Old Mamalahoa Hwy Pepeekeo",964-3073,saturday,unknown,unknown,"19.831336238573613,-155.09678072746908",,yes,pantry
Island of Hawaii,O Ka`u Kakou Pantry,Ka’u,Food Pantry,4th Tuesday of the month 10:00 AM,"Kau District Gym in Pahala
4th Tuesday of the month","O Ka`u Kakou Pantry
96-1149 Kamani Street.
Kau District Gym in Pahala
",938-5124,tuesday,unknown,unknown,"19.20111863419396,-155.4735883288698",,yes,pantry
Island of Hawaii,Ka`u Food Pantry - Oceanview,Ka’u,Food Pantry,Last Tuesday of the month 09:30 AM (except holidays),"St. Jude’s above Kahuku Park
Last Tuesday of the month","Ka`u Food Pantry - Oceanview
92-8606 Paradise Mauka Cir
St. Judeâ",224-209-9404,tuesday,unknown,unknown,"19.088074828352404,-155.7626274688948",,yes,pantry
Island of Hawaii,Sacred Hearts – Loaves and Fishes,Ka’u,Food Pantry,4th Thursday of the month 9:00-10:30 AM (except holidays),4th Thursday of the month,"Sacred Hearts – Loaves and Fishes
95-558 Mamalahoa Hwy - Naalehu",929-7474,thursday,unknown,unknown,"19.06267999219171,-155.58184046562593",,yes,pantry
Island of Hawaii,Hawaiian Beaches Pantry,Puna,Food Pantry,4th Monday of the month 11:00 AM ,4th Monday of the month (except holidays),"Hawaiian Beaches Pantry
15-2727 Manini St, Pahoa
",896-8393,monday,unknown,unknown,"19.8986819,-155.6658568",,yes,pantry
Island of Hawaii,H.P.P. Community Center,Puna,Food Pantry,4th Tuesday of the month 13:00 PM,4th Tuesday of the month,"H.P.P. Community Center
15-1570 Makuu Dr. Keaau",895-3529,tuesday,unknown,unknown,"19.572427,-154.957753",,yes,pantry
Island of Hawaii,Cooper Center Community Pantry,Puna,Food Pantry,"Last Wednesday of the month
9:30-11:00 AM (except holidays) ",Last Wednesday of the month,"Cooper Center Community Pantry
19-4030 Wright Rd Volcano",967-7800,wednesday,unknown,unknown,"19.434181006887382,-155.23008141436824",,yes,pantry
Island of Hawaii,Nanawale Longhouse,Puna,Food Pantry,Last Wednesday of the month 11:00 AM (except holidays),Last Wednesday of the month,"Nanawale Longhouse
14-855 Kehau Rd Nanawale",896-8393,wednesday,unknown,unknown,"19.49587313407599,-154.91464540639663",,yes,pantry
Island of Hawaii,Orchidland Neighbors,Puna,Food Pantry,Last Wednesday of the month 11:00 AM (except holidays),Last Wednesday of the month,"Orchidland LDS Church 16-105 Orchidland Dr Keaau
",854-1225,wednesday,unknown,unknown,"19.55971366584074,-154.99253422420364",,yes,pantry
Island of Hawaii,St. Theresa Parish,Puna,Food Pantry,"4th Thursday of the month
9:00-11:00 AM (except holidays)",4th Thursday of the month,"18-1355 Volcano Rd Mountain View
Next to gym at Na Wai Ola School",365-4221,thursday,unknown,unknown,"19.548758452999373,-155.10855585055253",,yes,pantry
Island of Hawaii,Fern Acres Community Center,Puna,Food Pantry,3rd Thursday of the month 11:00 AM (except holidays),3rd Thursday of the month,11-3602 Lehua St Mountain View,430-6736,thursday,unknown,unknown,"47.96430400000001,-124.378583",,yes,pantry
Island of Hawaii,Eden Roc Community Center,Puna,Food Pantry,3rd Thursday of the month 10:00 AM (except holidays),3rd Thursday of the month,"Eden Roc Community Center
8th Rd Ahi St. Mountain View
",933-6030,thursday,unknown,unknown,"19.497128705834307,-155.10628091825768",,yes,pantry
Island of Hawaii,Pahoa Sacred Hearts Parish Hall,Puna,Food Pantry,3rd Thursday of the month 10:00 AM-12:00 PM (except holidays),3rd Thursday of the month,"15-3003 Pahoa Village Rd Pahoa
",443-3905,thursday,unknown,unknown,"19.4954397,-154.9494112",,yes,pantry
